title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
The Letters of Marsilio Ficino: v. 6,"Marsilio Ficino, Language Department, School of Economic Science, Clement Salaman",176,Shepheard-Walwyn (Publishers) Ltd,1999-08-01,30.65,3.10,5,2,0,0,0,0,2,1243625,9780856831676,English,Biography
China Watcher : Confessions of a Peking Tom,Richard Baum,336,University of Washington Press,2014-04-01,29.73,0.77,4.03,36,0,1,6,20,9,831541,9780295992532,English,Biography
Slave Songs Of The United States,"William Francis Allen, etc.",176,Dover Publications Inc.,1995-07-06,11.85,1.15,4.39,33,0,0,5,10,18,864267,9780486285733,English,Biography
Colleen Hoover Books : The Biography of Colleen Hoover: Author of It Ends with Us,Varsity Press,34,Green Print Publishers,2022-02-16,9.55,3.15,3.15,13,2,4,1,2,4,9781638090236,9781638090236,English,Biography
Breathing Books: Series I,"Robyn Gardiner, Emily Greenall",124,Lulu.com,2015-12-09,14.52,0.72,5,3,0,0,0,0,3,9781326462482,9781326462482,English,Biography
The Book of Scams,Rodney Hobson,176,Harriman House Publishing,2016-02-01,12.52,5.88,3,6,1,0,4,0,1,1435866,9780857194862,English,Biography
34 Million Books : Australia's Queen of Romance shares her life and writing,Valerie Parv,244,Parv Creative Services Pty. Ltd.,2020-08-24,14.58,0.22,5,3,0,0,0,0,3,9780648916802,9780648916802,English,Biography
The Wallace Book,Edward J. Cowan,272,John Donald Publishers Ltd,2010-09-01,23.08,1.42,4.5,8,0,0,0,4,4,1608605,9781906566241,English,Biography
All-American Christmas,"Sean Duffy, Rachel Campos-duffy",272,HarperCollins Publishers Inc,2021-11-16,33.37,0.63,4.28,482,10,10,79,121,262,958633,9780063046641,English,Biography
Margaret Forster : A Life in Books,Kathleen Jones,158,The Book Mill,2016-10-20,10.60,16.80,4.07,44,1,0,11,15,17,1550423,9780957433212,English,Biography
The Hurt : The Sunday Times Sports Book of the Year,Dylan Hartley,336,Penguin Books Ltd,2021-03-18,12.19,0.31,4.01,187,1,7,40,81,58,537644,9780241348970,English,Biography
TIGER PROJECT: A Series Devoted to Germany's World War II Tiger Tank Crews: Book 2: Horst Kronke - Schwere Panzer (Tiger) Abteilung 505,Dale Richard Ritter,152,Schiffer Publishing Ltd,2004-10-25,51.20,4.80,3.25,4,0,1,1,2,0,810926,9780764321016,English,Biography
Sister Age,M.F.K. Fisher,256,Random House USA Inc,1984-05-12,16.12,0.88,3.72,341,9,32,91,124,85,963394,9780394723853,English,Biography
The Bomber War: A Ladybird Expert Book : Book 7 of the Ladybird Expert History of the Second World War,"James Holland, Keith Burns",56,Penguin Books Ltd,2021-01-19,10.12,1.38,4.33,6,0,0,1,2,3,1177312,9780718186531,English,Biography
The Book of Scams,Rodney Hobson,176,Harriman House Publishing,2016-02-01,12.52,5.88,3,6,1,0,4,0,1,1435866,9780857194862,English,Biography
The Wallace Book,Edward J. Cowan,272,John Donald Publishers Ltd,2010-09-01,23.08,1.42,4.5,8,0,0,0,4,4,1608605,9781906566241,English,Biography
You Fascinate Me So : The Life and Times of Cy Coleman,Andy Propst,512,Hal Leonard Corporation,2015-04-01,32.56,0.39,4.14,22,0,1,4,8,9,1021139,9781480355903,English,Biography
Twenty Days With Julian & Little Bu,Nathaniel Hawthorne,128,"The New York Review of Books, Inc",2003-09-01,16.27,1.23,4.04,280,3,17,53,100,107,907546,9781590170427,English,Biography
The Shapeless Unease : 'A small miracle of a book' - Nathan Flier,Samantha Harvey,192,Vintage Publishing,2021-01-07,10.38,2.12,3.59,1000,21,118,329,310,222,532326,9781529112092,English,Biography
Waffen-SS Knights and their Battles: The Waffen-SS Knight's Crs Holders Vol 1: 1939-1942,Peter Mooney,256,Schiffer Publishing Ltd,2008-09-28,43.25,1.75,4.6,5,0,0,0,2,3,896426,9780764330889,English,Biography
The Sky Wept Fire : My Life as a Chechen Freedom Fighter,"Mikail Eldin, Anna Gunin",304,Granta Books,2013-11-07,15.48,3.43,4.17,42,0,0,8,19,15,1032852,9781846273186,English,Biography
The Rodchenkov Affair : How I Brought Down Russia's Secret Doping Empire - Winner of the William Hill Sports Book of the Year 2020,Grigory Rodchenkov,320,Ebury Publishing,2020-11-24,17.99,1.51,4.16,807,0,14,128,380,285,368619,9780753553336,English,Biography
Leopold and Loeb : THE CRIME OF THE CENTURY,Hal Higdon,384,University of Illinois Press,1999-09-01,24.47,2.12,3.94,433,3,16,108,183,123,959747,9780252068294,English,Biography
The Hole: Books 2 & 3,"Dameon Gibbs, Willie Gibbs",243,Lulu.com,2014-12-31,16.16,1.04,5,3,0,0,0,0,3,9781312570160,9781312570160,English,Biography
A Shelf of Old Books...,Annie Fields,238,Nabu Press,2011-10-07,24.65,1.34,5,3,0,0,0,0,3,9781247761121,9781247761121,English,Biography
Rosengren's Books : An Oasis for Mind and Spirit,Mary Carolyn Hollers George,160,Wings Press,2015-01-01,16.13,2.97,4.33,3,0,0,0,2,1,9781609403799,9781609403799,English,Biography
