title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Introduction to Parallel Algorithms V 1,C Xavier,384,John Wiley & Sons Inc,1998-08-21,146.32,53.68,3.25,4,0,1,1,2,0,9780471251828,9780471251828,English,Computing
Control of Redundant Robot Manipulators : Theory and Experiments,"Rajni V. Patel, F. Shadpey",205,Springer-Verlag Berlin and Heidelberg GmbH & Co. KG,2005-07-01,152.25,34.74,4,2,0,0,1,0,1,9783540250715,9783540250715,English,Computing
The Impact of Social Media in Modern Romantic Relationships,"Narissra M. Punyanunt-Carter, Jason S. Wrench, V. Santiago Arias, Megan Bassick, Jennifer L. Bevan, Kate G. Blackburn, Derek R. Blackwell, Eryn N. Bostwick, Nicholas Brody, John P. Caughlin",288,Lexington Books,2017-05-15,105.91,37.89,5,2,0,0,0,0,2,9781498544481,9781498544481,English,Computing
Sensitive by Nature : Understanding Intelligence and the Mind,James V. Luisi,356,AuthorHouse,2002-06-25,37.25,2.65,4,2,0,0,0,2,0,3344232,9781403300393,English,Computing
Artificial Superintelligence : A Futuristic Approach,Roman V. Yampolskiy,205,Taylor & Francis Ltd,2017-07-27,181.92,4.68,3.67,15,2,0,4,4,5,9781138435773,9781138435773,English,Computing
Linear Programming and Generalizations : A Problem-based Introduction with Spreadsheets,Eric V. Denardo,673,Springer-Verlag New York Inc.,2011-07-30,124.30,25.20,4,1,0,0,0,1,0,3405874,9781441964908,English,Computing
"Pro Android Web Apps : Develop for Android using HTML5, CSS3 & JavaScript","Damon Oehlman, Sbastien Blanc",392,Springer-Verlag Berlin and Heidelberg GmbH & Co. KG,2011-02-24,40.23,1.45,2.93,15,1,4,7,1,2,1271217,9781430232766,English,Computing
Dropshipping a Beginner's Guide to Dropshipping : How to Make Money Online and Build Your Own Online Business,MR James Moore,98,Createspace Independent Publishing Platform,2018-03-21,12.27,0.13,4.09,34,0,2,7,11,14,9781986660648,9781986660648,English,Computing
High-Level Synthesis Blue Book,Michael Fingeroff,332,Xlibris,2010-09-29,53.53,11.77,4,3,0,1,0,0,2,9781453584682,9781453584682,Japanese,Computing
Hyper-V Network Virtualization Cookbook,Ryan Boud,228,Packt Publishing Limited,2014-12-02,54.38,6.72,4.57,7,0,0,1,1,5,9781782177807,9781782177807,English,Computing
Microsoft Hyper-V PowerShell Automation,Vinith Menon,124,Packt Publishing Limited,2015-02-28,33.09,4.41,1.5,2,1,1,0,0,0,3700870,9781784391539,English,Computing
