title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
"Introduction to Matrices, Sets and Groups for Science Students",Geoffrey Stephenson,164,Dover Publications Inc.,2016-01-14,12.42,1.58,3.88,8,0,0,3,3,2,1854988,9780486650777,English,"Technology, Engineering"
"The TAB Battery Book: An In-Depth Guide to Construction, Design, and Use",Michael Root,272,McGraw-Hill Education - Europe,2011-01-16,40.20,7.30,4,5,0,0,0,5,0,1823513,9780071739900,English,"Technology, Engineering"
Better NOT Bigger : How to Take Control of Urban Growth and Improve your Community,Eben V. Fodor,192,New Society Publishers,2007-06-01,21.83,0.16,3.45,20,2,2,6,5,5,2726052,9781897408032,English,"Technology, Engineering"
Reeds Vol 9: Steam Engineering Knowledge for Marine Engineers,Thomas D. Morton,304,Bloomsbury Publishing PLC,2019-06-25,53.90,5.10,4,5,0,1,1,0,3,1920497,9781472968814,English,"Technology, Engineering"
Mysticism and Religious Traditions,Steven T. Katz,284,Oxford University Press Inc,1984-03-15,23.05,2.95,3.67,9,1,0,1,6,1,1833215,9780195033144,English,"Technology, Engineering"
Rehabilitation of Pipelines Using Fiber-reinforced Polymer (FRP) Composites,V M Karbhari,314,Elsevier Science & Technology,2015-05-22,161.15,71.75,4,1,0,0,0,1,0,2461895,9780857096845,English,"Technology, Engineering"
Tanks 1914-1918 the Log-book of a Pioneer 2004,Albert G. Stern,360,Naval & Military Press Ltd,2005-02-28,23.40,5.30,4,1,0,0,0,1,0,2705102,9781843429449,English,"Technology, Engineering"
"Nuclear Rocket : Making Our Planet Green, Peaceful And Prosperous",James Dewar,216,Collector's Guide Publishing,2009-09-24,20.68,0.42,3.67,6,0,0,2,4,0,1748125,9781894959995,English,"Technology, Engineering"
Around the World in 84 Days : The Authorized Biography of Skylab Astronaut Jerry Carr,David J Shayler,272,Collector's Guide Publishing,2008-09-22,22.92,8.58,3.5,4,0,0,2,2,0,1760290,9781894959407,English,"Technology, Engineering"
Getting Off the Planet : Training Astronauts,"Mary Jane Chambers, Dr Randall Chambers",120,Collector's Guide Publishing,2006-01-30,16.99,2.11,2.67,3,1,0,1,1,0,1949967,9781894959209,English,"Technology, Engineering"
Vehicle Accident Analysis and Reconstruction Methods,"Raymond M. Brach, R. Matthew Brach",375,SAE International,2011-05-30,161.88,22.72,4,1,0,0,0,1,0,1859636,9780768034370,English,"Technology, Engineering"
"Dyes in History and Archaeology: Vol. 18 : Papers Presented at the 18th Meeting, Brussels, 1999",Jo Kirby,116,Archetype Publications Ltd,2007-02-06,67.72,1.76,4,1,0,0,0,1,0,2231757,9781873132333,English,"Technology, Engineering"
The Book of the Feet - A History of Boots and Shoes,J S Hall,234,White Press,2017-04-21,24.92,1.88,4.5,2,0,0,0,1,1,2164709,9781473338067,English,"Technology, Engineering"
Reeds Vol 11: Engineering Drawing,H.G. Beck,176,Bloomsbury Publishing PLC,2019-05-21,56.13,21.37,5,1,0,0,0,0,1,2161302,9781472969859,English,"Technology, Engineering"
"Healthy Land, Healthy Pasture, Healthy Horses : The Equicentral System Series Book 2","Jane Myers, Stuart Myers",262,Equiculture Publishing,2016-01-01,33.53,38.87,4.8,5,0,0,0,1,4,935234,9780994156181,English,"Technology, Engineering"
Newnes Data Communications Pocket Book,"Steve Winder, Mike Tooley",256,ELSEVIER SCIENCE & TECHNOLOGY,2002-05-08,35.86,4.09,4,1,0,0,0,1,0,2085841,9780750652971,English,"Technology, Engineering"
Better NOT Bigger : How to Take Control of Urban Growth and Improve your Community,Eben V. Fodor,192,New Society Publishers,2007-06-01,21.83,0.16,3.45,20,2,2,6,5,5,2726052,9781897408032,English,"Technology, Engineering"
Carbohydrates: The Essential Molecules of Life,"Robert V. Stick, Spencer Williams",496,Elsevier Science & Technology,2008-12-02,76.43,3.52,3,1,0,0,1,0,0,2027366,9780240521183,English,"Technology, Engineering"
Rehabilitation of Pipelines Using Fiber-reinforced Polymer (FRP) Composites,V M Karbhari,314,Elsevier Science & Technology,2015-05-22,161.15,71.75,4,1,0,0,0,1,0,2461895,9780857096845,English,"Technology, Engineering"
"Official History of the Second World War the War at Sea 1939-45: Volume III Part I the Offensive 1st June 1943-31 May 1944: v. III,Pt. I",S. W. Roskill,512,Naval & Military Press Ltd,2005-02-28,46.50,12.50,3.92,25,1,2,5,7,10,1213324,9781843428053,English,"Technology, Engineering"
A History and Description of the Collie or Sheepdog in His British Varieties (A Vintage Dog Books Breed Classic),Rawdon Lee,180,Read Books,2006-02-08,31.53,15.27,5,1,0,0,0,0,1,9781846640872,9781846640872,English,"Technology, Engineering"
Vogue's Book of Smart Dressmaking,Anon,66,Read Books,2011-04-15,21.67,10.53,4,1,0,0,0,1,0,2167008,9781447401117,English,"Technology, Engineering"
"How To Make Doll Clothes - A Book For Daughters, Mothers And Grandmothers",Emily Dow,98,READ BOOKS,2010-07-27,33.99,7.51,4,1,0,0,0,1,0,1916863,9781445514666,English,"Technology, Engineering"
"Climate Change Book : A Brief History of Climate Change, Climate Science, Climate Hysteria, Climate Denial, Climate Debate, and Reasons for Hope",University Press,68,Independently Published,2021-05-02,11.49,0.54,3.13,15,4,0,4,4,3,1380015,9798747600744,English,"Technology, Engineering"
Book of Five Rings,Musashi Miyamoto,108,www.bnpublishing.com,2009-05-11,16.82,3.48,4.01,44182,692,2470,9521,14722,16777,2217488,9781607961192,English,"Technology, Engineering"
ASM HB v. 8 : Mechanical Testing and Evaluation,"Howard Kuhn, Diana Medlin",998,ASM International,2000-10-30,366.23,10.57,4,2,0,0,1,0,1,2102256,9780871703897,English,"Technology, Engineering"
Are We There Yet? All About the Planet Saturn! Space for Kids - Children's Aeronautics & Space Book,Baby Professor,42,Baby Professor,2017-02-15,12.68,3.52,5,7,0,0,0,0,7,1592343,9781683269250,English,"Technology, Engineering"
American Hand Book of the Daguerreotype (Illustrated Edition) (Dodo Press),S D Humphrey,140,Dodo Press,2009-01-31,11.06,0.93,4,1,0,0,0,1,0,1874858,9781409925873,English,"Technology, Engineering"
The Shrimp Book II,Victoria Alday-Sanz,500,5M Books Ltd,2022-05-31,236.98,7.52,3.5,2,0,1,0,0,1,2687585,9781789181043,English,"Technology, Engineering"
